"Bill/PR #","Act/Res #","Law #","Name","Funded",""""Subject to"" Repealed"","Introduced By","Notes"
"B11-865","?","L11-254","Title 47, D.C. Code Enactment Act of 1996 (Subchapter IV)","Yes, 7/3/08 OCFO e-mail confirmation","Yes, L18-111","",""
"B13-107","A13-297","L13-127","Assisted Living Residence Regulatory Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-131","A13-264","L13-111","School Proximity Traffic Calming Act of 2000","Yes, 6/2/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-161","A13-111","L13-38","Service Improvement and  Fiscal Year 2000 Budget Support Act of 1999 (Title XXII)","Yes, 1/16/09 OCFO e-mail confirmation","Yes, L18-111","",""
"B13-266","A13-565","L13-272","Safe Needle Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-303","A13-289","L13-123","Recreation Volunteer Background Check and Screening Act of 2000","Yes, A18-188","Yes, L18-111","",""
"B13-409","A13-300","L13-130","Retail Service Station Amendment Act of 2000","Yes, 12/12/08 OCFO e-mail confirmation","Yes, L17-353","",""
"B13-448","A13-486","L13-224","Emergency Medical Services Non-Resuscitation Procedures Act of 2000","Yes, 5/30/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-451","A13-225","L13-96","Government Employer-Assisted Housing Amendment Act of 1999 (Section 3)","Yes, 7/3/08 OCFO e-mail confirmation","Yes, L18-111","",""
"B13-469","A13-295","L13-159","School Governance Charter Amendment Act of 2000","Yes, 4/18/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-471","A13-360","L13-161","Tax Expenditure Budget Review Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-474","A13-572","L13-276","Newborn Hearing Screening Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-735","A13-573","L13-278","Public Access to Automated External Defibrillator Act of 2000","Yes, 4/15/09 OCFO e-mail certification","Yes, L18-111","",""
"B13-752","A13-543","L13-256","New E-conomy Transformation Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B13-794","A13-587","L13-297","Nurse's Rehabilitation Program Act of 2000","Yes, 12/12/08 OCFO e-mail confirmation","Yes, L17-353","",""
"B13-796","A13-590","L13-277","Child and Family Services Agency Establishment Amendment Act of 2000","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"PR13-382","R13-245","N/A","Greater Southeast Community Hospital Corporation and the Greater Southeast Management Company Loan Emergency Approval Resolution of 1999","Yes, 12/12/08 OCFO e-mail confirmation","Yes, L18-111","",""
"INIT-62","A14-545","L14-308","Treatment Instead of Jail for Certain Non-Violent Drug Offenders Initiative of 2002 (Section 6)","NOT FUNDED","","N/A",""
"B14-9","A14-202","L14-82","Greater Southeast Community Hospital Corporation and Hadley Memorial Hospital Tax Abatement Act of 2001","Yes, 3/9/09 OCFO e-mail confirmation","Yes, L18-111","",""
"B14-21","A14-70","L14-22","Earned Income Tax Credit Act of 2001","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-29","A14-355","L14-166","Office of Employee Appeals Attorney Fees Clarification Amendment Act of 2002","Yes, 5/30/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-183","A14-267","L14-114","Housing Act of 2002","Yes, 6/2/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-208","A14-196","L14-76","Office of Administrative Hearings Establishment Act of 2001","Yes, 5/30/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-218","A14-550","L14-253","DC Teachers Federal Credit Union Real Property Tax Exemption Act of 2002","Yes, 7/3/08 OCFO e-mail confirmation","Yes, L18-111","",""
"B14-372","A14-440","L14-206","Improved Child Abuse Investigations Amendment Act of 2002","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-379","A14-223","L14-94","Child and Family Services Agency Licensure Exemption of Certain Court Personnel Amendment Act of 2001","Yes, 4/21/08 OCFO e-mail confirmation","Yes, L17-219","",""
"B14-402","A14-289","L14-128","Woolly Mammoth Theatre Tax Abatement Act of 2002","Yes, 7/3/08 OCFO e-mail confirmation","Yes, L18-111","",""
"B14-458","A14-290","L14-129","Square 456 Payment in Lieu of Taxes Act of 2002","Yes, 7/3/08 OCFO e-mail confirmation","Yes, L18-111","",""
